Date,Open,High,Low,Close,Volume,Adj Close
2000-03-01,9572.240234,10071.259766,8250.459961,9854.950195,000,9854.911133
2000-02-01,9829.679688,10393.589844,9407.790039,9435.94043,000,9435.90332
2000-01-04,8644.910156,9753.719727,8642.50,9744.889648,000,9744.851562
1999-12-01,7702.180176,8480.50,7684.419922,8448.839844,000,8448.806641
1999-11-01,7874.259766,8152.330078,7261.310059,7720.870117,000,7720.839844
1999-10-01,7633.080078,7959.52002,7462.450195,7706.669922,000,7706.639648
1999-09-01,8225.610352,8414.599609,7415.580078,7598.790039,000,7598.760254
1999-08-02,7340.879883,8255.480469,6817.580078,8157.72998,000,8157.697754
1999-07-02,8508.790039,8668.150391,7150.040039,7413.109863,000,7413.080566
1999-06-01,7333.689941,8661.389648,7313.120117,8467.370117,000,8467.336914
1999-05-03,7393.580078,7705.629883,7304.439941,7316.569824,000,7316.541016
1999-04-01,6876.200195,7706.009766,6875.669922,7371.169922,000,7371.141113
1999-03-01,6328.220215,7133.029785,6227.339844,6881.720215,000,6881.693359
1999-02-01,5948.350098,6408.759766,5422.660156,6318.52002,000,6318.495117
1999-01-05,6210.410156,6595.990234,5975.47998,5984.00,000,5983.976562
1998-12-01,7116.240234,7375.910156,6414.450195,6418.430176,000,6418.404785
1998-11-02,7215.830078,7467.220215,6643.180176,7177.220215,000,7177.191895
1998-10-01,6760.410156,7110.02002,6384.660156,7101.459961,000,7101.432129
1998-09-01,6350.129883,7218.390137,6219.890137,6833.950195,000,6833.92334
1998-08-03,7715.799805,7715.799805,6547.430176,6550.109863,000,6550.083984
1998-07-02,7654.009766,8092.439941,7647.709961,7653.509766,000,7653.479492
1998-06-01,7860.049805,7867.410156,7073.220215,7548.810059,000,7548.780273
1998-05-04,8321.580078,8432.030273,7895.149902,7903.339844,000,7903.308594
1998-04-01,9160.679688,9337.610352,8294.379883,8304.209961,000,8304.177734
1998-03-02,9272.790039,9314.740234,8630.049805,9091.160156,000,9091.124023
1998-02-02,8260.280273,9378.519531,8245.419922,9202.55957,000,9202.523438
1998-01-05,8154.919922,8154.919922,7373.140137,8085.470215,000,8085.438477
1997-12-01,7446.490234,8532.25,7354.919922,8187.27002,000,8187.237793
1997-11-03,7419.339844,8137.02002,7406.100098,7797.189941,000,7797.15918
1997-10-01,8737.080078,8737.080078,7040.540039,7313.399902,000,7313.371094
1997-09-01,9861.75,9861.75,8599.820312,8708.830078,000,8708.795898
1997-08-01,9953.30957,10256.099609,9501.629883,9827.490234,000,9827.451172
1997-07-02,9094.269531,10113.570312,8988.129883,10066.349609,000,10066.30957
